farm,animal_id,tag,obs,gender,weight,depth,partition,exp,interval,jobs,train_size,w_pred,abse,mbse,sque,mape,vi
Farm A,Ahk7H4mnwdaJbN1FCxdR,918,,1,33.45,918_15801_2025_01_26_09_09_16_063518_DEPTH_320_240_1.png,test,run-1,"(30, 40]",[266],1578,35.501152,-2.051152038574216,2.051152038574216,4.207224685347161,0.06131994136245787,3.819793
Farm A,Ahk7H4mnwdaJbN1FCxdR,918,,1,33.45,918_15803_2025_01_26_09_09_16_256934_DEPTH_320_240_1.png,test,run-1,"(30, 40]",[266],1578,33.253605,0.19639511108398722,0.19639511108398722,0.03857103965769168,0.0058713037693269715,3.819793
Farm A,Ahk7H4mnwdaJbN1FCxdR,918,,1,33.45,918_15800_2025_01_26_09_09_15_945344_DEPTH_320_240_1.png,test,run-1,"(30, 40]",[266],1578,34.390125,-0.9401252746582003,0.9401252746582003,0.8838355320511565,0.028105389376926762,3.819793
Farm A,Ahk7H4mnwdaJbN1FCxdR,918,,1,33.45,918_15799_2025_01_26_09_09_15_850842_DEPTH_320_240_1.png,test,run-1,"(30, 40]",[266],1578,32.713554,0.7364456176757841,0.7364456176757841,0.5423521477938672,0.022016311440232708,3.819793
Farm A,Ahk7H4mnwdaJbN1FCxdR,918,,1,33.45,918_15798_2025_01_26_09_09_15_738744_DEPTH_320_240_1.png,test,run-1,"(30, 40]",[266],1578,35.813755,-2.363755035400388,2.363755035400388,5.587337867380689,0.0706653224334944,3.819793
Farm A,Ahk7H4mnwdaJbN1FCxdR,918,,1,33.45,918_15802_2025_01_26_09_09_16_160990_DEPTH_320_240_1.png,test,run-1,"(30, 40]",[266],1578,33.157623,0.29237670898437784,0.29237670898437784,0.08548413995653557,0.008740708788770637,3.819793
Farm A,GkA0oi5FvGWWr0y5wyAI,970,,1,32.3,970_15685_2025_01_26_09_08_44_299434_DEPTH_320_240_1.png,test,run-1,"(30, 40]",[264],1578,35.167995,-2.867995452880862,2.867995452880862,8.225397917745301,0.08879242888176045,4.194584
Farm A,GkA0oi5FvGWWr0y5wyAI,970,,1,32.3,970_15684_2025_01_26_09_08_44_194913_DEPTH_320_240_1.png,test,run-1,"(30, 40]",[264],1578,35.12452,-2.824519348144534,2.824519348144534,7.977909548042824,0.0874464194471992,4.194584
Farm A,GkA0oi5FvGWWr0y5wyAI,970,,1,32.3,970_15686_2025_01_26_09_08_44_392411_DEPTH_320_240_1.png,test,run-1,"(30, 40]",[264],1578,32.653454,-0.3534538269042997,0.3534538269042997,0.12492960775329466,0.010942842938213614,4.194584
Farm A,KjCHeZr1MV7dUg3sCPqA,0954,,1,25.25,0954_15907_2025_01_26_09_09_53_448058_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[270],1578,26.105164,-0.85516357421875,0.85516357421875,0.7313047386705875,0.03386786432549505,9.887695
Farm A,KjCHeZr1MV7dUg3sCPqA,0954,,1,25.25,0954_15909_2025_01_26_09_09_53_653499_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[270],1578,25.573423,-0.3234233856201172,0.3234233856201172,0.10460268636597903,0.012808846955252166,9.887695
Farm A,KjCHeZr1MV7dUg3sCPqA,0954,,1,25.25,0954_15906_2025_01_26_09_09_53_348906_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[270],1578,28.79671,-3.5467090606689453,3.5467090606689453,12.579145161031192,0.14046372517500774,9.887695
Farm A,KjCHeZr1MV7dUg3sCPqA,0954,,1,25.25,0954_15904_2025_01_26_09_09_53_138183_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[270],1578,27.131496,-1.8814964294433594,1.8814964294433594,3.54002881400811,0.07451471007696472,9.887695
Farm A,KjCHeZr1MV7dUg3sCPqA,0954,,1,25.25,0954_15903_2025_01_26_09_09_53_038001_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[270],1578,21.759575,3.4904251098632812,3.4904251098632812,12.183067447564099,0.13823465781636757,9.887695
Farm A,KjCHeZr1MV7dUg3sCPqA,0954,,1,25.25,0954_15908_2025_01_26_09_09_53_552860_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[270],1578,24.145184,1.1048164367675781,1.1048164367675781,1.220619358951808,0.043755106406636754,9.887695
Farm A,KjCHeZr1MV7dUg3sCPqA,0954,,1,25.25,0954_15905_2025_01_26_09_09_53_245248_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[270],1578,29.036392,-3.7863922119140625,3.7863922119140625,14.336765982443467,0.14995612720451731,9.887695
Farm A,1blNoXOaGTVs8uJGMp52,0253,,1,53.65,0253_2381_2025_01_25_10_48_07_980317_DEPTH_320_240_1.png,test,run-1,"(40, 55]",[43],1578,49.633266,4.016733551025389,4.016733551025389,16.134148419933034,0.07486921809926168,2.325072
Farm A,1blNoXOaGTVs8uJGMp52,0253,,1,53.65,0253_2380_2025_01_25_10_48_07_881299_DEPTH_320_240_1.png,test,run-1,"(40, 55]",[43],1578,51.989693,1.6603073120117173,1.6603073120117173,2.756620370319574,0.03094701420338709,2.325072
Farm A,1blNoXOaGTVs8uJGMp52,0253,,1,53.65,0253_2382_2025_01_25_10_48_08_075749_DEPTH_320_240_1.png,test,run-1,"(40, 55]",[43],1578,49.720325,3.9296745300292955,3.9296745300292955,15.442341911960964,0.07324649636587689,2.325072
Farm A,1blNoXOaGTVs8uJGMp52,0253,,1,53.65,0253_2383_2025_01_25_10_48_08_175838_DEPTH_320_240_1.png,test,run-1,"(40, 55]",[43],1578,49.612537,4.0374626159667955,4.0374626159667955,16.30110437532944,0.0752555939602385,2.325072
Farm A,8YGvqGP1Gz5D2FBmBTYn,992,,1,16.3,992_3406_2025_01_25_10_54_12_987927_DEPTH_320_240_1.png,test,run-1,"(10, 20]",[60],1578,15.451472,0.8485277175903327,0.8485277175903327,0.7199992875190595,0.05205691518959096,24.039066
Farm A,8YGvqGP1Gz5D2FBmBTYn,992,,1,16.3,992_3405_2025_01_25_10_54_12_876208_DEPTH_320_240_1.png,test,run-1,"(10, 20]",[60],1578,14.403453,1.8965471267700202,1.8965471267700202,3.596891004059619,0.11635258446441842,24.039066
Farm A,8YGvqGP1Gz5D2FBmBTYn,992,,1,16.3,992_3408_2025_01_25_10_54_13_197457_DEPTH_320_240_1.png,test,run-1,"(10, 20]",[60],1578,16.09756,0.20243911743164134,0.20243911743164134,0.04098159626650187,0.012419577756542413,24.039066
Farm A,8YGvqGP1Gz5D2FBmBTYn,992,,1,16.3,992_3410_2025_01_25_10_54_13_407918_DEPTH_320_240_1.png,test,run-1,"(10, 20]",[60],1578,15.770838,0.5291622161865241,0.5291622161865241,0.28001265103943374,0.03246393964334504,24.039066
Farm A,8YGvqGP1Gz5D2FBmBTYn,992,,1,16.3,992_3402_2025_01_25_10_54_12_576422_DEPTH_320_240_1.png,test,run-1,"(10, 20]",[60],1578,7.353054,8.946945953369141,8.946945953369141,80.04784189250846,0.5488923897772479,24.039066
Farm A,8YGvqGP1Gz5D2FBmBTYn,992,,1,16.3,992_3404_2025_01_25_10_54_12_781773_DEPTH_320_240_1.png,test,run-1,"(10, 20]",[60],1578,14.555728,1.7442720413208015,1.7442720413208015,3.042484954133436,0.10701055468225776,24.039066
Farm A,8YGvqGP1Gz5D2FBmBTYn,992,,1,16.3,992_3407_2025_01_25_10_54_13_086136_DEPTH_320_240_1.png,test,run-1,"(10, 20]",[60],1578,15.190794,1.1092060089111335,1.1092060089111335,1.2303379702045656,0.06804944839945604,24.039066
Farm A,8YGvqGP1Gz5D2FBmBTYn,992,,1,16.3,992_3403_2025_01_25_10_54_12_679097_DEPTH_320_240_1.png,test,run-1,"(10, 20]",[60],1578,8.665788,7.634212303161622,7.634212303161622,58.28119748974427,0.4683565830160504,24.039066
Farm A,8YGvqGP1Gz5D2FBmBTYn,992,,1,16.3,992_3409_2025_01_25_10_54_13_299988_DEPTH_320_240_1.png,test,run-1,"(10, 20]",[60],1578,15.857113,0.44288711547851634,0.44288711547851634,0.19614899705688066,0.02717098867966358,24.039066
Farm A,K9QKYRo1klTQfDuj58rZ,997,,0,14.0,997_5319_2025_01_25_11_08_45_721558_DEPTH_320_240_1.png,test,run-1,"(10, 20]",[98],1578,17.632425,-3.632425308227539,3.632425308227539,13.194513619851932,0.25945895058768137,16.931173
Farm A,K9QKYRo1klTQfDuj58rZ,997,,0,14.0,997_5321_2025_01_25_11_08_45_923536_DEPTH_320_240_1.png,test,run-1,"(10, 20]",[98],1578,12.027939,1.9720611572265625,1.9720611572265625,3.889025207841769,0.14086151123046875,16.931173
Farm A,K9QKYRo1klTQfDuj58rZ,997,,0,14.0,997_5322_2025_01_25_11_08_46_029817_DEPTH_320_240_1.png,test,run-1,"(10, 20]",[98],1578,14.809759,-0.8097591400146484,0.8097591400146484,0.655709864837263,0.05783993857247489,16.931173
Farm A,K9QKYRo1klTQfDuj58rZ,997,,0,14.0,997_5320_2025_01_25_11_08_45_823080_DEPTH_320_240_1.png,test,run-1,"(10, 20]",[98],1578,13.137338,0.8626623153686523,0.8626623153686523,0.7441862703572042,0.0616187368120466,16.931173
Farm A,LZ9Hm8tWex5D47nPWUX3,990,,0,29.65,990_6007_2025_01_25_11_17_46_420492_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[108],1578,33.420418,-3.7704177856445327,3.7704177856445327,14.216050278304621,0.1271641748952625,25.645832
Farm A,LZ9Hm8tWex5D47nPWUX3,990,,0,29.65,990_6006_2025_01_25_11_17_46_318616_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[108],1578,20.166374,9.48362579345703,9.48362579345703,89.93915819032348,0.3198524719547059,25.645832
Farm A,LZ9Hm8tWex5D47nPWUX3,990,,0,29.65,990_6008_2025_01_25_11_17_46_521200_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[108],1578,32.250763,-2.6007629394531264,2.6007629394531264,6.763967867232867,0.08771544483821675,25.645832
Farm A,Li0PPmEE0mJx3e0fQyJ4,0188,,1,29.65,0188_1945_2025_01_25_10_45_50_563226_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[36],1578,32.233894,-2.5838943481445327,2.5838943481445327,6.676510002373259,0.08714652101667901,9.595124
Farm A,Li0PPmEE0mJx3e0fQyJ4,0188,,1,29.65,0188_1943_2025_01_25_10_45_50_368405_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[36],1578,34.14065,-4.490651702880861,4.490651702880861,20.165952716586776,0.1514553694057626,9.595124
Farm A,Li0PPmEE0mJx3e0fQyJ4,0188,,1,29.65,0188_1942_2025_01_25_10_45_50_259347_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[36],1578,27.211916,2.4380840301513658,2.4380840301513658,5.944253738079126,0.0822288037150545,9.595124
Farm A,Li0PPmEE0mJx3e0fQyJ4,0188,,1,29.65,0188_1944_2025_01_25_10_45_50_456866_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[36],1578,32.811256,-3.1612564086914077,3.1612564086914077,9.993542081492496,0.10661910315991258,9.595124
Farm A,O5wPj3DHXhXi48GuPfD6,0014,,1,30.2,0014_548_2025_01_25_10_31_32_893394_DEPTH_320_240_1.png,test,run-1,"(30, 40]","[12, 44]",1578,38.46338,-8.26337890625,8.26337890625,68.28343094825746,0.2736218180877484,11.183614
Farm A,O5wPj3DHXhXi48GuPfD6,0014,,1,30.2,0014_2439_2025_01_25_10_48_41_774407_DEPTH_320_240_1.png,test,run-1,"(30, 40]","[12, 44]",1578,43.60958,-13.409580993652344,13.409580993652344,179.8168624253222,0.44402586071696504,11.183614
Farm A,O5wPj3DHXhXi48GuPfD6,0014,,1,30.2,0014_2436_2025_01_25_10_48_41_473661_DEPTH_320_240_1.png,test,run-1,"(30, 40]","[12, 44]",1578,36.88325,-6.683251190185548,6.683251190185548,44.66584647111654,0.22129970828428966,11.183614
Farm A,O5wPj3DHXhXi48GuPfD6,0014,,1,30.2,0014_546_2025_01_25_10_31_32_706652_DEPTH_320_240_1.png,test,run-1,"(30, 40]","[12, 44]",1578,30.802826,-0.6028259277343757,0.6028259277343757,0.36339909914881074,0.019961123434913103,11.183614
Farm A,O5wPj3DHXhXi48GuPfD6,0014,,1,30.2,0014_2437_2025_01_25_10_48_41_570215_DEPTH_320_240_1.png,test,run-1,"(30, 40]","[12, 44]",1578,34.79268,-4.592678833007813,4.592678833007813,21.09269886315801,0.15207545804661635,11.183614
Farm A,O5wPj3DHXhXi48GuPfD6,0014,,1,30.2,0014_547_2025_01_25_10_31_32_803637_DEPTH_320_240_1.png,test,run-1,"(30, 40]","[12, 44]",1578,33.61176,-3.4117591857910163,3.4117591857910163,11.640100741829379,0.1129721584699012,11.183614
Farm A,O5wPj3DHXhXi48GuPfD6,0014,,1,30.2,0014_2438_2025_01_25_10_48_41_668968_DEPTH_320_240_1.png,test,run-1,"(30, 40]","[12, 44]",1578,38.023235,-7.823235321044923,7.823235321044923,61.20301088844485,0.259047527186918,11.183614
Farm A,PE0t2BU9p9bjXYCqffyo,0035,,1,29.85,0035_3120_2025_01_25_10_52_20_822557_DEPTH_320_240_1.png,test,run-1,"(20, 30]",[55],1578,20.919882,8.93011817932129,8.93011817932129,79.7470106966446,0.2991664381682174,19.145433
