farm,animal_id,tag,obs,gender,weight,depth,partition,exp,interval,jobs
Farm A,021IK4BJ2GltxzphIRtY,0200,,1,42.2,0200_15565_2025_01_26_09_07_57_912318_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[262]
Farm A,021IK4BJ2GltxzphIRtY,0200,,1,42.2,0200_15566_2025_01_26_09_07_58_014755_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[262]
Farm A,021IK4BJ2GltxzphIRtY,0200,,1,42.2,0200_15567_2025_01_26_09_07_58_123809_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[262]
Farm A,021IK4BJ2GltxzphIRtY,0200,,1,42.2,0200_15569_2025_01_26_09_07_58_344763_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[262]
Farm A,021IK4BJ2GltxzphIRtY,0200,,1,42.2,0200_15568_2025_01_26_09_07_58_235040_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[262]
Farm A,021IK4BJ2GltxzphIRtY,0200,,1,42.2,0200_15570_2025_01_26_09_07_58_448220_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[262]
Farm A,021IK4BJ2GltxzphIRtY,0200,,1,42.2,0200_15564_2025_01_26_09_07_57_817270_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[262]
Farm A,4HV3xs0i0TW3luSfzXYC,0265,,1,53.65,0265_16722_2025_01_26_09_13_35_031679_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[278]
Farm A,4HV3xs0i0TW3luSfzXYC,0265,,1,53.65,0265_16721_2025_01_26_09_13_34_925530_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[278]
Farm A,4VVduhuUTmpx3gEC5Rir,0013,,1,30.7,0013_15622_2025_01_26_09_08_27_290424_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[263]
Farm A,4VVduhuUTmpx3gEC5Rir,0013,,1,30.7,0013_15623_2025_01_26_09_08_27_407146_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[263]
Farm A,4VVduhuUTmpx3gEC5Rir,0013,,1,30.7,0013_15620_2025_01_26_09_08_27_071402_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[263]
Farm A,4VVduhuUTmpx3gEC5Rir,0013,,1,30.7,0013_15621_2025_01_26_09_08_27_173897_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[263]
Farm A,50xh6D7LBGadWaZkTrFj,963,,1,33.6,963_17439_2025_01_26_09_31_08_447341_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[296]
Farm A,50xh6D7LBGadWaZkTrFj,963,,1,33.6,963_17435_2025_01_26_09_31_08_025130_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[296]
Farm A,50xh6D7LBGadWaZkTrFj,963,,1,33.6,963_17436_2025_01_26_09_31_08_135674_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[296]
Farm A,50xh6D7LBGadWaZkTrFj,963,,1,33.6,963_17440_2025_01_26_09_31_08_546392_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[296]
Farm A,50xh6D7LBGadWaZkTrFj,963,,1,33.6,963_17438_2025_01_26_09_31_08_347990_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[296]
Farm A,50xh6D7LBGadWaZkTrFj,963,,1,33.6,963_17433_2025_01_26_09_31_07_835881_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[296]
Farm A,50xh6D7LBGadWaZkTrFj,963,,1,33.6,963_17437_2025_01_26_09_31_08_247807_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[296]
Farm A,50xh6D7LBGadWaZkTrFj,963,,1,33.6,963_17434_2025_01_26_09_31_07_931844_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[296]
Farm A,50xh6D7LBGadWaZkTrFj,963,,1,33.6,963_17441_2025_01_26_09_31_08_648154_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[296]
Farm A,50xh6D7LBGadWaZkTrFj,963,,1,33.6,963_17442_2025_01_26_09_31_08_750178_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[296]
Farm A,7zwr9US7A5THB053bhAB,796,,1,38.55,796_15263_2025_01_26_09_05_13_240018_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[258]
Farm A,7zwr9US7A5THB053bhAB,796,,1,38.55,796_15260_2025_01_26_09_05_12_930657_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[258]
Farm A,7zwr9US7A5THB053bhAB,796,,1,38.55,796_15261_2025_01_26_09_05_13_040303_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[258]
Farm A,7zwr9US7A5THB053bhAB,796,,1,38.55,796_15262_2025_01_26_09_05_13_141109_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[258]
Farm A,Ab2zgcGrTLWr1TAd5mY3,002,,1,46.8,002_16971_2025_01_26_09_15_00_917193_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[282]
Farm A,Ab2zgcGrTLWr1TAd5mY3,002,,1,46.8,002_16969_2025_01_26_09_15_00_725461_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[282]
Farm A,Ab2zgcGrTLWr1TAd5mY3,002,,1,46.8,002_16966_2025_01_26_09_15_00_405262_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[282]
Farm A,Ab2zgcGrTLWr1TAd5mY3,002,,1,46.8,002_16965_2025_01_26_09_15_00_300809_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[282]
Farm A,Ab2zgcGrTLWr1TAd5mY3,002,,1,46.8,002_16973_2025_01_26_09_15_01_100369_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[282]
Farm A,Ab2zgcGrTLWr1TAd5mY3,002,,1,46.8,002_16968_2025_01_26_09_15_00_623991_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[282]
Farm A,Ab2zgcGrTLWr1TAd5mY3,002,,1,46.8,002_16970_2025_01_26_09_15_00_826242_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[282]
Farm A,Ab2zgcGrTLWr1TAd5mY3,002,,1,46.8,002_16967_2025_01_26_09_15_00_525285_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[282]
Farm A,Ab2zgcGrTLWr1TAd5mY3,002,,1,46.8,002_16972_2025_01_26_09_15_01_006181_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[282]
Farm A,AhSR4roP4QDZ20kPbuYf,919,,1,34.5,919_15855_2025_01_26_09_09_26_677689_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[267]
Farm A,AhSR4roP4QDZ20kPbuYf,919,,1,34.5,919_15851_2025_01_26_09_09_26_280280_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[267]
Farm A,AhSR4roP4QDZ20kPbuYf,919,,1,34.5,919_15852_2025_01_26_09_09_26_381725_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[267]
Farm A,AhSR4roP4QDZ20kPbuYf,919,,1,34.5,919_15850_2025_01_26_09_09_26_178957_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[267]
Farm A,AhSR4roP4QDZ20kPbuYf,919,,1,34.5,919_15856_2025_01_26_09_09_26_769537_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[267]
Farm A,AhSR4roP4QDZ20kPbuYf,919,,1,34.5,919_15853_2025_01_26_09_09_26_485414_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[267]
Farm A,AhSR4roP4QDZ20kPbuYf,919,,1,34.5,919_15857_2025_01_26_09_09_26_863501_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[267]
Farm A,AhSR4roP4QDZ20kPbuYf,919,,1,34.5,919_15854_2025_01_26_09_09_26_581080_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[267]
Farm A,GuTDJcCQEX4vPQFYzYJT,943,,1,27.3,943_17350_2025_01_26_09_30_50_631396_DEPTH_320_240_1.png,train,run-1,"(20, 30]",[295]
Farm A,GuTDJcCQEX4vPQFYzYJT,943,,1,27.3,943_17351_2025_01_26_09_30_50_722658_DEPTH_320_240_1.png,train,run-1,"(20, 30]",[295]
Farm A,GuTDJcCQEX4vPQFYzYJT,943,,1,27.3,943_17355_2025_01_26_09_30_51_118783_DEPTH_320_240_1.png,train,run-1,"(20, 30]",[295]
Farm A,GuTDJcCQEX4vPQFYzYJT,943,,1,27.3,943_17348_2025_01_26_09_30_50_436286_DEPTH_320_240_1.png,train,run-1,"(20, 30]",[295]
Farm A,GuTDJcCQEX4vPQFYzYJT,943,,1,27.3,943_17354_2025_01_26_09_30_51_014436_DEPTH_320_240_1.png,train,run-1,"(20, 30]",[295]
Farm A,GuTDJcCQEX4vPQFYzYJT,943,,1,27.3,943_17352_2025_01_26_09_30_50_815491_DEPTH_320_240_1.png,train,run-1,"(20, 30]",[295]
Farm A,GuTDJcCQEX4vPQFYzYJT,943,,1,27.3,943_17353_2025_01_26_09_30_50_915620_DEPTH_320_240_1.png,train,run-1,"(20, 30]",[295]
Farm A,GuTDJcCQEX4vPQFYzYJT,943,,1,27.3,943_17349_2025_01_26_09_30_50_538876_DEPTH_320_240_1.png,train,run-1,"(20, 30]",[295]
Farm A,He5mbbefFwT6UNaupcqW,903,,1,35.55,903_16562_2025_01_26_09_12_49_569119_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[277]
Farm A,He5mbbefFwT6UNaupcqW,903,,1,35.55,903_16560_2025_01_26_09_12_49_373404_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[277]
Farm A,He5mbbefFwT6UNaupcqW,903,,1,35.55,903_16561_2025_01_26_09_12_49_471789_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[277]
Farm A,He5mbbefFwT6UNaupcqW,903,,1,35.55,903_16563_2025_01_26_09_12_49_665083_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[277]
Farm A,He5mbbefFwT6UNaupcqW,903,,1,35.55,903_16559_2025_01_26_09_12_49_263018_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[277]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15123_2025_01_26_09_04_30_830370_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15127_2025_01_26_09_04_31_218851_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15135_2025_01_26_09_04_32_010286_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15133_2025_01_26_09_04_31_815328_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15125_2025_01_26_09_04_31_027521_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15122_2025_01_26_09_04_30_723966_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15124_2025_01_26_09_04_30_923520_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15130_2025_01_26_09_04_31_513283_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15128_2025_01_26_09_04_31_316783_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15131_2025_01_26_09_04_31_624157_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15129_2025_01_26_09_04_31_416722_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15126_2025_01_26_09_04_31_123692_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15132_2025_01_26_09_04_31_718578_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15134_2025_01_26_09_04_31_914985_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,OXkEYT36NMADvZaMMGn8,0262,,1,51.95,0262_15136_2025_01_26_09_04_32_106834_DEPTH_320_240_1.png,train,run-1,"(40, 55]",[256]
Farm A,U2XLE8n90tGoBEWKHPrJ,0050,,1,33.35,0050_16780_2025_01_26_09_14_00_279729_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[280]
Farm A,U2XLE8n90tGoBEWKHPrJ,0050,,1,33.35,0050_16782_2025_01_26_09_14_00_496788_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[280]
Farm A,U2XLE8n90tGoBEWKHPrJ,0050,,1,33.35,0050_16783_2025_01_26_09_14_00_599472_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[280]
Farm A,U2XLE8n90tGoBEWKHPrJ,0050,,1,33.35,0050_16781_2025_01_26_09_14_00_390757_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[280]
Farm A,XecbJUsqfMdhylN9te3O,741,,1,35.5,741_17507_2025_01_26_09_31_21_749880_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[297]
Farm A,XecbJUsqfMdhylN9te3O,741,,1,35.5,741_17503_2025_01_26_09_31_21_358424_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[297]
Farm A,XecbJUsqfMdhylN9te3O,741,,1,35.5,741_17506_2025_01_26_09_31_21_655812_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[297]
Farm A,XecbJUsqfMdhylN9te3O,741,,1,35.5,741_17504_2025_01_26_09_31_21_450395_DEPTH_320_240_1.png,train,run-1,"(30, 40]",[297]
